datasize_list,bruck_mr,bruck_logmr,bruck_std,bruck_logstd,bisect_mr,bisect_logmr,bisect_std,bisect_logstd,ssdp_mr,ssdp_logmr,ssdp_std,ssdp_logstd,socp_mr,socp_logmr,socp_std,socp_logstd
150,0.45639572,-0.454003786823428,0.503204536983212,0.271572749765781,0.66139271,-0.180018008070132,0.0327015581540578,0.0214615079098058,0.02432224,-1.61989403604525,0.00418214056095148,0.0758700045824516,0.01775769,-1.75516686591649,0.00288543807629121,0.0643027290045451
217.5,0.61688184,-0.213852621837275,0.0924754511007855,0.0613304483864318,0.66439764,-0.177861178585991,0.0257879458179463,0.0166354204113285,0.02224323,-1.65584532459713,0.00283913588616521,0.0536070879531798,0.01560343,-1.80682028101936,0.000224040378553113,0.0062436047456123
285,0.97516329,-0.016875406059229,0.173531173490058,0.0753117750286101,0.6470411,-0.189120458440781,0.0105857736537718,0.00710712306370915,0.02331028,-1.64006691716829,0.00465128439915017,0.0852385293658385,0.01585975,-1.79979562776363,0.000343307242536154,0.00943095046333555
352.5,1.32200713,0.107789381499973,0.364610452902665,0.111246131491582,0.64924213,-0.187637100520741,0.00970757126268521,0.00650519674397914,0.02201718,-1.66430207742994,0.00444452994434982,0.0803174081552599,0.01581545,-1.80101308939768,0.000350047584860497,0.00952987511138254
420,1.85562487,0.267444448840398,0.141830631210696,0.031078528896887,0.64219902,-0.192559887951942,0.022291034635865,0.0147903587100363,0.02445242,-1.62278312511715,0.00608033681062708,0.101460855705171,0.01571866,-1.80370173828273,0.000386786944511373,0.0106135938253448
487.5,3.04718132,0.466062783303176,0.952283052386406,0.129045919709776,0.6540711,-0.184398527875862,0.00716426672498075,0.00476324602087351,0.02275163,-1.64610088591546,0.00286361718773458,0.0549042552435563,0.01557591,-1.80758294221452,0.000214036094827225,0.00590327284268237
555,3.85575839,0.571819487131696,1.04147056101343,0.117957446407298,0.64222239,-0.192380003299506,0.0117454164725791,0.00794986354301151,0.02149471,-1.67258229130662,0.00340742790204968,0.0689110446254224,0.01570322,-1.80419576572416,0.000487779027383871,0.0132712292866225
622.5,3.68791711,0.52531154195584,1.55992024970464,0.213563390826042,0.66044767,-0.180227654416504,0.0122179041745256,0.00796070157000116,0.02394946,-1.63075436117282,0.00597009797299099,0.0942562524011686,0.01575548,-1.80272808270559,0.000451926815117472,0.0123947893296203
690,3.25664081,0.508288549419994,0.486739173263627,0.0662119975221356,0.65182394,-0.185900687270137,0.0082181728637345,0.00546611978701226,0.02116028,-1.67763377793215,0.00270936453016816,0.0549876873370992,0.01553184,-1.80886048276795,0.000323999081617355,0.00892749305996828
757.5,6.60928978,0.816453610949656,0.938767879382287,0.058873514011701,0.66012725,-0.180422694175727,0.010668233869791,0.00694773241593,0.02294725,-1.64659196931628,0.00463247422544847,0.0824561679758336,0.01558367,-1.80736247380811,0.000200000800276177,0.00557720263784147
825,11.6040212,1.0602122555927,1.73955739089668,0.065216994920379,0.64106543,-0.193175886879477,0.0128066352252824,0.00869688881012112,0.02411004,-1.62495935213645,0.0049611432381391,0.0804481904801566,0.01586545,-1.80028373941163,0.00102035962641719,0.0260364367842125
892.5,22.74993362,1.34782257249283,4.83202157930551,0.0949616576648458,0.63492689,-0.197344670371606,0.0119691404649578,0.00809331526390814,0.02326039,-1.63604073258214,0.00266082305664578,0.0511886496574434,0.01560368,-1.80682524284136,0.000254436413361854,0.00711384680943086
