datasize_list,bruck_mr,bruck_logmr,bruck_std,bruck_logstd,bisect_mr,bisect_logmr,bisect_std,bisect_logstd,ssdp_mr,ssdp_logmr,ssdp_std,ssdp_logstd,socp_mr,socp_logmr,socp_std,socp_logstd
150,0.47292844,-0.4524898694775,0.498844796674709,0.312061101653453,0.68590485,-0.163986251607649,0.0245762545250152,0.0155260794845479,0.02530271,-1.60162904737535,0.00410113110561519,0.0669260115399269,0.01731421,-1.76683387283581,0.00305965150973113,0.0684810990272175
217.5,0.50883924,-0.325107487730236,0.22559283106054,0.167253832411539,0.66015996,-0.180436068543936,0.0138674869608496,0.009044656322015,0.02315413,-1.63912768381456,0.00320207708112163,0.0602953553186514,0.01617092,-1.79140211866252,0.000430713882344701,0.0114550822046971
285,1.03191529,-0.0248618599361002,0.518033510523004,0.183497383071764,0.65861755,-0.181531306953048,0.0191100995709511,0.012606471844742,0.02464058,-1.61068577650778,0.0025771677739548,0.0486323631580009,0.01609384,-1.79339196859488,0.000261907936327083,0.00705643097070534
352.5,1.92592291,0.22676233501208,1.05321192115027,0.237595756134657,0.66766601,-0.175486285672562,0.0101886296150224,0.00663207986410378,0.02324326,-1.64003149943507,0.0043100358359428,0.0770114616322223,0.01611726,-1.79275621937453,0.000252291067354092,0.00674976488727196
420,2.33340341,0.335278838354951,0.978857016267498,0.176008457319062,0.66898716,-0.174783203953196,0.0214840959249808,0.0139189177338202,0.02404739,-1.62261887255275,0.00331904086930413,0.0595247630480838,0.01576098,-1.80244044599546,0.000173432047531912,0.00477890084432812
487.5,3.98704244,0.561644596471155,1.78858413963894,0.194392377746986,0.67669768,-0.169671601664438,0.0125014817692232,0.00798609890333802,0.02178759,-1.66463203588164,0.00260776842762372,0.0525398380838206,0.01602404,-1.79525943279828,0.000203343350572922,0.00550886609615498
555,5.030158,0.662632906196843,2.3726557048813,0.189537954095142,0.66924668,-0.174541872504689,0.0170956922502457,0.011131206236288,0.02080591,-1.68437610472438,0.00244285005427404,0.0491085686952691,0.01590225,-1.79855854451636,0.000148683296902436,0.00406712049461512
622.5,4.59194076,0.64269695789281,1.40508225855224,0.138363149794553,0.68460719,-0.164624206487249,0.0125534847905937,0.00795913339719934,0.02142421,-1.67472296910968,0.00376397110877152,0.0724361481492305,0.01591983,-1.79811593318293,0.000266761566655402,0.00722620289913294
690,8.6486079,0.883465052348271,4.87701296299998,0.218808437498882,0.66381115,-0.178020974986577,0.0122062434213215,0.00793489736707254,0.02224947,-1.65801534306114,0.00371616479183998,0.0713620180738085,0.0163302,-1.78715363420289,0.000447614998259293,0.011801189542515
757.5,10.07368767,0.96951860488561,4.54659480399601,0.173512176588894,0.6753467,-0.170499654911971,0.00786658458798984,0.00504747385389924,0.02162678,-1.66979739822612,0.0034962660039915,0.0668801283330218,0.01595671,-1.79707892016109,0.00017053034562147,0.00463374405126206
825,13.31101519,1.07775652296942,7.03029397467214,0.203182767841541,0.67071287,-0.173553567779053,0.0144263953495012,0.00932519547052433,0.02228521,-1.65508906792055,0.00283542610728774,0.0545134761905846,0.01626002,-1.78899613152379,0.000397562958815609,0.0106441878801135
892.5,13.58440464,1.05859858440086,9.64732046292582,0.250251989484195,0.68897546,-0.161879623280501,0.0142500529167205,0.00896437091245102,0.02312313,-1.64153600898583,0.00396190495961223,0.0729343079620511,0.01587491,-1.79931765775677,0.000194051381798166,0.00527164862652951
960,17.32354115,1.22553848020958,4.36135426838528,0.114421396548609,0.67196661,-0.172732078888013,0.0135646522384427,0.00877803790511928,0.02353956,-1.63078642976609,0.00265730060366196,0.0504863932773939,0.0160595,-1.79437184828147,0.000372532623478207,0.009981424360592
1027.5,18.55973386,1.22724745668032,8.7199781307385,0.197858866659448,0.66076536,-0.180030274907411,0.0131237189977368,0.00866331202940546,0.02364056,-1.62970212084286,0.00304491303367874,0.0575533024235397,0.01597805,-1.79650770293394,0.000202169001085725,0.00552018835596267
1095,25.43603679,1.33265603134078,16.9115623485976,0.254825130034055,0.66770806,-0.176990595058001,0.064381627887106,0.0376495239962872,0.02147021,-1.67128552909023,0.00276568446478946,0.0543769620807962,0.01600972,-1.79562354555119,9.74597443962262e-05,0.00265463916651773
1162.5,36.12628049,1.51087676096752,15.6300543932241,0.229260461680838,0.66191332,-0.179238285653567,0.00935952406432438,0.00618004231881063,0.02178336,-1.66714885164569,0.00373696250782489,0.0699275736623055,0.01597922,-1.79649649706099,0.000260703658074323,0.00709090004685253
1230,26.43544027,1.36417758331822,15.4998245890985,0.228585359319186,0.64512017,-0.190372569070213,0.00529472539945813,0.00356952952868223,0.02343779,-1.63411521889586,0.00331566178527505,0.0629344286958888,0.01592986,-1.79787874761983,0.000346859587985943,0.00930694787528652
1297.5,41.36872756,1.55634286616131,23.1906816171052,0.241902269349705,0.65545621,-0.183487385180584,0.00824678117630682,0.00548147583993877,0.02150743,-1.6709380521782,0.00293405967903025,0.0578858337686581,0.01601096,-1.79561075463746,0.000192306527305873,0.00520708695702876
1365,46.33352602,1.63201882704717,18.2578132843378,0.187230252857812,0.63939719,-0.194253235117518,0.00708340093229703,0.00480729668769036,0.02339779,-1.63456217039922,0.00325355785920924,0.05994655913631,0.0161143,-1.79284304335734,0.000268070003295159,0.00726535878388237
1432.5,48.80718698,1.67186541977023,12.8060496995163,0.1341111979081,0.65876893,-0.181300196299887,0.00861407494447314,0.00566468456116207,0.02357762,-1.63262070784085,0.00390149318076497,0.0696911826501201,0.01614268,-1.79206031691263,0.000219044570806947,0.00588950872304849
1500,58.10596349,1.73318683035546,22.3783569576034,0.177147934625881,0.66183273,-0.179318108530969,0.012192394272027,0.00800314010512072,0.02346832,-1.63325560997394,0.00320305484491845,0.0605442760664472,0.0152634,-1.81758002927646,0.00119134657985547,0.0347613043600109
