datasize_list,bruck_mr,bruck_logmr,bruck_std,bruck_logstd,bisect_mr,bisect_logmr,bisect_std,bisect_logstd,ssdp_mr,ssdp_logmr,ssdp_std,ssdp_logstd,socp_mr,socp_logmr,socp_std,socp_logstd
100,0.39248791,-0.574627063107237,0.536228121394222,0.326568792954457,0.6806987,-0.167325271153389,0.0258403133707348,0.0164233361045522,0.02519851,-1.60893321140558,0.00586946416340065,0.0995228386636507,0.01939801,-1.71695349740084,0.00307763578938625,0.0667358709055315
150,0.45822148,-0.365690766737876,0.178887318443332,0.15700228759057,0.64743612,-0.188838346080974,0.00870242572910947,0.00583286867780999,0.02287442,-1.64413038368649,0.00304109000590249,0.058133175103496,0.01703733,-1.76921913301144,0.000964641113517814,0.0244181009237781
200,0.60347109,-0.241230837884777,0.19694375758004,0.147574109711792,0.66117509,-0.179724621190465,0.00954686380074048,0.00631222984740856,0.02106923,-1.67988550860973,0.00292337173788913,0.0575400766643936,0.01761667,-1.75503453316349,0.00124445676684871,0.0302825090781002
250,0.96027427,-0.0376662818526846,0.298960340442043,0.141832338687813,0.64772165,-0.188640216486001,0.00783662790721307,0.00525759222529404,0.02102546,-1.68098121770037,0.00293324132211753,0.0596881612053224,0.01658054,-1.7813874285911,0.00115486690546285,0.0311697783103217
300,1.70658375,0.210763994522071,0.597882928273899,0.13974772149833,0.64767266,-0.188681600606615,0.00894334135186625,0.00598509175655927,0.0221011,-1.65844995980105,0.00272804352482385,0.0521277532096886,0.01657571,-1.78070700736247,0.000502956601728442,0.0131345668982355
350,2.48221813,0.370216096859161,0.915304572611602,0.15211371230783,0.64980504,-0.187238986573153,0.00688720679121002,0.00462004611501953,0.02066542,-1.68772964540379,0.0025777728064703,0.0532745352604755,0.01653308,-1.78271916194996,0.00124215854400493,0.0319714636309122
400,3.48019663,0.52546014996017,1.00979813962023,0.124760503548579,0.65923746,-0.181035936504974,0.0131789267905833,0.00865822767018226,0.0218145,-1.66988404674816,0.00487733847502918,0.0884754397502988,0.01675261,-1.77713441969561,0.00128940958792947,0.0347170067827273
450,3.22519061,0.466501454958255,1.67588589289009,0.191106326753149,0.65655066,-0.182755541468911,0.00725543803688733,0.00478684320263693,0.01962701,-1.70911023016773,0.00198454844483295,0.0433638160184881,0.01737911,-1.76237246167873,0.0019653559493554,0.047644883327549
500,5.71867864,0.739215018072942,1.46937234756829,0.144860840002585,0.65480667,-0.183904007744277,0.0061305263750894,0.00406102613584959,0.02202215,-1.66151991484414,0.00342574790220244,0.0638232416037044,0.01718503,-1.76515793389739,0.000686266558270181,0.017200914006805
550,4.46242457,0.608496936694618,2.24540036812494,0.191370954773741,0.65532619,-0.183555146844361,0.00527407951367394,0.00349801529311936,0.02230249,-1.65660279463313,0.00368136259418831,0.0679901462838869,0.01665447,-1.77886435087351,0.000768025041620099,0.0192854379210907
600,7.69073291,0.873048156362634,2.00066769402803,0.11116304673702,0.65935511,-0.180919908736168,0.00930904524194374,0.00617043255552631,0.02311858,-1.64145812715205,0.00401553300842837,0.0709920977454542,0.01656257,-1.78108718178181,0.000540868918295161,0.0145135109935662
