gamma_list,bisect_means,bruckner_means,ridge_means,ssdp_means,socp_means
0.001,638.006589967973,1600.09341388947,1600.09593113994,638.006585484512,638.011205295256
0.0202051282051282,541.572864086289,1601.66838080367,1601.94008621351,541.57283638548,541.560161419379
0.0394102564102564,498.856009555965,1605.78877157754,1603.78769185694,498.856039336593,498.855763923867
0.0586153846153846,468.470423299255,1609.46535710443,1605.63874592138,468.470395150166,468.460638195974
0.0778205128205128,444.429375607184,1612.99250358421,1607.49324749729,444.429389621534,444.42976738918
0.097025641025641,424.388509704802,1617.65845275737,1609.35119581333,424.388543082027,424.389361080785
0.116230769230769,407.145227096117,1624.85983454852,1611.21258991221,407.145211912982,407.144637148658
0.135435897435897,391.987750554042,1631.63347488872,1613.0774290842,391.987715476297,391.99214779642
0.154641025641026,378.454837418586,1638.65585231395,1614.94571239548,378.454876053288,378.450082321251
0.173846153846154,366.228469719668,1648.32342679846,1616.81743902828,366.228464009828,366.22314172037
0.193051282051282,355.078439688573,1657.25783086328,1618.69260817344,355.07844985719,355.078536432676
0.21225641025641,344.8324584478,1667.58508563201,1620.57121895547,344.832472445954,344.833839848407
0.231461538461538,335.357676121883,1678.47983496209,1622.45327056211,335.357707778856,335.360087808045
0.250666666666667,326.549285338009,1689.30133146063,1624.33876214511,326.549318492535,326.546913106327
0.269871794871795,318.323021866414,1699.63737134203,1626.22769285463,318.323049889772,318.321540726334
0.289076923076923,310.609977454887,1712.17375602535,1628.12006187936,310.610000690036,310.610404116327
0.308282051282051,303.35299350873,1725.22004494938,1630.01586835462,303.353029430687,303.357659233938
0.327487179487179,296.504284600015,1738.8656744134,1631.91511146069,296.504314976568,296.506578022097
0.346692307692308,290.023117062205,1757.62401943479,1633.81779035085,290.02310768286,290.022867809136
0.365897435897436,283.874833458411,1765.5904243933,1635.72390419085,283.874858068982,283.878371679307
0.385102564102564,278.029398896237,1784.30540010353,1637.63345213371,278.029417998699,278.034492229734
0.404307692307692,272.460777327377,1801.50814685229,1639.54643336243,272.460736353412,272.466317744794
0.423512820512821,267.146096040681,1819.18304031184,1641.46284702532,267.146095278965,267.145721799051
0.442717948717949,262.065324819127,1840.71477167653,1643.38269228502,262.065339262155,262.069869560188
0.461923076923077,257.20070106721,1860.98758001376,1645.30596832574,257.200709093342,257.196458057486
0.481128205128205,252.536409616444,1872.83137320708,1647.23267428129,252.536380823504,252.541699977742
0.500333333333333,248.05826380797,1892.23148181251,1649.16280933751,248.058297393608,248.060027778892
0.519538461538462,243.753650464187,1916.40061259636,1651.09637264966,243.75364184951,243.754109467598
0.53874358974359,239.611053063812,1933.20440928191,1653.03336337781,239.611099109365,239.612148273572
0.557948717948718,235.620284587718,1956.76612097108,1654.97378070509,235.620286693083,235.623874714806
0.577153846153846,231.771827043956,1986.08815413986,1656.91762377235,231.771826935501,231.77221654552
0.596358974358974,228.057116700774,2011.28731220869,1658.86489176426,228.057168689263,228.056724238935
0.615564102564103,224.468498993949,2029.96544165625,1660.81558383408,224.468451589377,224.470337033692
0.634769230769231,220.998656050113,2059.5862001019,1662.76969915869,220.998697684569,220.998646568653
0.653974358974359,217.641195627842,2088.72171088017,1664.72723688499,217.641179770284,217.638503140432
0.673179487179487,214.390019940637,2109.21246981864,1666.6881962029,214.389978732126,214.392245804314
0.692384615384615,211.239490583801,2143.55396668707,1668.65257625925,211.239507670568,211.237702121617
0.711589743589744,208.184582526022,2166.91889394858,1670.62037623122,208.184571152977,208.181058070043
0.730794871794872,205.220491011598,2193.49890383824,1672.59159527825,205.220499618766,205.220249000316
0.75,202.342749397131,2235.79710733035,1674.5662325738,202.342774473199,202.342340640724
