gamma_list,bisect_means,bruckner_means,ridge_means,ssdp_means,socp_means
0.001,0.366631713813497,0.614832171756932,0.614851133281502,0.366631711152258,0.366631737832435
0.0202051282051282,0.363856226797893,0.614327652024922,0.614709925404218,0.363856226149585,0.363856183144859
0.0394102564102564,0.362470301132361,0.613824911049331,0.614568887902878,0.362470301384107,0.362469856798995
0.0586153846153846,0.361411654704403,0.613323942239604,0.61442802055672,0.361411655901768,0.361411697801522
0.0778205128205128,0.360524801562539,0.612824743413386,0.614287323144903,0.360524801849608,0.360524758849145
0.097025641025641,0.359748281221425,0.612327310407924,0.614146795446987,0.359748297673929,0.359748173818014
0.116230769230769,0.359050292657429,0.611831625378386,0.614006437242919,0.359050294321728,0.359049827888788
0.135435897435897,0.358411851027736,0.611337693373922,0.613866248312861,0.358411848878316,0.358411732385636
0.154641025641026,0.357820545539472,0.610845521629549,0.613726228437382,0.357820537201466,0.357820522604798
0.173846153846154,0.357267743935459,0.610355093221029,0.613586377397394,0.357267750534855,0.35726785255517
0.193051282051282,0.356747150372185,0.609866390895444,0.613446694974108,0.356747131703685,0.356747211117881
0.21225641025641,0.356254007323284,0.609379417980013,0.613307180948993,0.356254010565824,0.356253983169309
0.231461538461538,0.355784622432469,0.608894193904996,0.613167835104045,0.355784633872291,0.355785499424174
0.250666666666667,0.35533605307637,0.608410676900519,0.613028657221372,0.355336064674991,0.355337262117543
0.269871794871795,0.35490591430801,0.60792890377914,0.612889647083552,0.354905917706946,0.354905357515772
0.289076923076923,0.354492241527601,0.60744881267775,0.612750804473464,0.354492252815598,0.354492295430752
0.308282051282051,0.354093396149226,0.606970414317082,0.612612129174312,0.354093390481051,0.354092862270198
0.327487179487179,0.353707987794463,0.606493745848861,0.612473620969631,0.353707992872325,0.353708115682505
0.346692307692308,0.353334831682723,0.606018781309591,0.612335279643262,0.353334833261257,0.353334614147825
0.365897435897436,0.352972903288996,0.605545509270491,0.612197104979401,0.35297293400128,0.352972772883575
0.385102564102564,0.352621313517725,0.605073942748911,0.612059096762554,0.352621311371267,0.352621056423457
0.404307692307692,0.352279284668948,0.604604017495504,0.611921254777573,0.352279294342504,0.352279324349458
0.423512820512821,0.351946127437639,0.604135777033585,0.611783578809609,0.351946137250664,0.351946267560623
0.442717948717949,0.351621234464661,0.603669241626155,0.611646068644137,0.351621235740456,0.351621237142971
0.461923076923077,0.351304061234272,0.603204390819452,0.611508724067035,0.351304043783556,0.351304205233534
0.481128205128205,0.350994120807326,0.602741131500275,0.611371544864388,0.350994131710783,0.350993606214061
0.500333333333333,0.350690976533515,0.602279554975635,0.611234530822678,0.35069097634227,0.350690917680505
0.519538461538462,0.350394229101505,0.601819679037681,0.611097681728687,0.350394230925521,0.350394296119865
0.53874358974359,0.350103519450898,0.601361427567155,0.610960997369527,0.350103517959719,0.350103379774077
0.557948717948718,0.349818521415305,0.600904794128653,0.610824477532625,0.349818543810945,0.349818585035378
0.577153846153846,0.349538933602869,0.600449851341073,0.610688122005762,0.349538936161061,0.349538301898978
0.596358974358974,0.349264483667564,0.599996481129558,0.610551930576968,0.349264483751921,0.34926452183053
0.615564102564103,0.348994918152965,0.599544819139605,0.610415903034672,0.348994927208225,0.348995164684458
0.634769230769231,0.348730004556281,0.599094764639866,0.610280039167578,0.348730005545337,0.348729862733094
0.653974358974359,0.348469526849548,0.598646291519989,0.610144338764711,0.348469525285771,0.348469777346872
0.673179487179487,0.348213288063369,0.598199434271711,0.610008801615431,0.34821328942195,0.348213374979757
0.692384615384615,0.347961102469534,0.597754255511447,0.609873427509411,0.347961101956114,0.347961018309264
0.711589743589744,0.347712796982083,0.59731057864542,0.609738216236624,0.347712796544684,0.347712882414054
0.730794871794872,0.347468213272584,0.5968685833849,0.609603167587388,0.34746820047977,0.34746854593794
0.75,0.347227201474803,0.596428166621988,0.609468281352321,0.347227192439005,0.347227122838971
